model,photonTotal,deltaDThreshold,powerAtFixedFP,achievedFP,medianNullDeltaD,medianAltDeltaD,tauErrNs,height3Um,height3IqrUm,atBoundFraction,medianEvals
summed,1000,3.13297148352022,0.203333333333333,0.05,3.37227206159696e-07,0.729179133998677,0.244596491988345,NaN,NaN,NaN,811
summed,3000,4.78645683857275,0.19,0.05,0.0505359689890703,1.56174319368474,0.221528231427205,NaN,NaN,NaN,864.5
summed,10000,4.77171758417504,0.566666666666667,0.05,0.13004362274393,5.75781469133828,0.15334306708357,NaN,NaN,NaN,931
summed,30000,4.36490975154637,0.916666666666667,0.05,0.115193978047557,13.8085297887836,0.115884442193391,NaN,NaN,NaN,986
ring-free,1000,21.8208679277517,0.0533333333333333,0.05,6.66513835939861,6.56253615406686,0.255177770756698,NaN,NaN,NaN,841
ring-free,3000,23.8932883326808,0.0933333333333333,0.05,7.18634518516001,9.26229545254196,0.248831295726136,NaN,NaN,NaN,868
ring-free,10000,24.2735665719669,0.13,0.05,7.47178651494575,11.9017124785985,0.270051724118331,NaN,NaN,NaN,883.5
ring-free,30000,23.6598119639704,0.446666666666667,0.05,7.906819297632,22.1008568730204,0.258148867107594,NaN,NaN,NaN,886
ring-w(z),1000,3.04580613943286,0.24,0.05,0,0.776256224113538,0.205498765055168,0.481965250587489,0.795726075902795,0.913333333333333,4786.5
ring-w(z),3000,3.59595460269091,0.336666666666667,0.05,2.8421709430404e-14,2.21424629715334,0.1552785994249,0.490180854888537,0.779569935189802,0.933333333333333,4831.5
ring-w(z),10000,4.50131063622648,0.766666666666667,0.05,4.00865900473946e-08,8.81407658942814,0.0635656977985369,0.4885646210414,0.592491068552603,0.953333333333333,4818
ring-w(z),30000,3.98103941724061,0.983333333333333,0.05,8.38440428196918e-13,27.3268996512176,0.0382629259396492,0.488574767762582,0.41079648566449,0.943333333333333,4801
